axis,event_id,level,start_time,end_time,duration_sec,peak_residual,mean_residual,area_above_baseline
Axis #8,A0003,ALERT,2022-10-17 13:26:45.544000+00:00,2022-10-17 13:27:16.189000+00:00,30.645,0.5759864879031197,0.467062233435651,14.405721802402216
Axis #8,A0004,ALERT,2022-10-17 14:33:15.063000+00:00,2022-10-17 14:33:34.209000+00:00,19.146,0.47454912798352233,0.4708486216055121,8.95391466546541
Axis #8,A0005,ALERT,2022-10-17 14:47:19.098000+00:00,2022-10-17 14:47:24.754000+00:00,5.656,0.37780912623203583,0.3679402181347414,1.8540232824690888
Axis #8,A0006,ALERT,2022-10-17 14:48:08.479000+00:00,2022-10-17 14:48:14.322000+00:00,5.843,0.3951466402028756,0.37582838377542216,2.2544349964270776
Axis #8,A0007,ALERT,2022-10-17 14:48:20.299000+00:00,2022-10-17 14:48:27.956000+00:00,7.657,0.4573579273969335,0.42066879537152085,2.9079239966633588
Axis #8,A0008,ALERT,2022-10-17 14:48:48.642000+00:00,2022-10-17 14:49:08.026000+00:00,19.384,0.46872191960907406,0.4172820923906258,8.41837609728682
Axis #8,A0009,ALERT,2022-10-17 14:52:23.499000+00:00,2022-10-17 14:52:33.127000+00:00,9.628,0.4814483867270428,0.4319197487475049,4.336808381966715
Axis #8,A0010,ALERT,2022-10-17 14:52:38.718000+00:00,2022-10-17 14:52:50.187000+00:00,11.469,0.5132784838870735,0.5052644314866147,6.077118535215636
Axis #8,A0011,ALERT,2022-10-17 14:56:22.426000+00:00,2022-10-17 14:56:28.334000+00:00,5.908,0.3754317498185452,0.36877739421719075,2.2194856174077064
Axis #8,A0012,ALERT,2022-10-17 15:27:16.565000+00:00,2022-10-17 15:27:30.121000+00:00,13.556000000000001,0.4355146298167645,0.4049892931819281,5.705461947094946
Axis #8,A0013,ALERT,2022-10-17 17:54:21.198000+00:00,2022-10-17 17:54:36.582000+00:00,15.384,0.4960256522681511,0.4456512253485417,6.717450778630723
Axis #8,A0014,ALERT,2022-10-17 17:54:42.447000+00:00,2022-10-17 17:54:48.291000+00:00,5.844,0.4979878166137809,0.4895523150209797,2.944985094328416
Axis #8,A0015,ALERT,2022-10-17 17:56:59.122000+00:00,2022-10-17 17:57:22.173000+00:00,23.051,0.41952319378254077,0.39317561089564185,9.03818514165291
